 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
16.6234,7.74553,16.47173499596264,2.2403958986705255,26.253,7.64866,26.019423395617263,3.494225974318905,64.3077,6.69472,63.86921131901082,7.496941028015321,106.36036971059073,13.231562901004752,107.1802337270114,107.1841,9.0,37,900.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
18.1306,8.01919,17.95330811730946,2.5293050438707887,27.8289,7.77593,27.573006787539907,3.765231985452999,73.1534,7.46015,72.53418604651965,9.497988530677171,118.06050095136902,15.792525560000959,119.11207221961799,119.11290000000001,9.0,38,1800.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
27.9514,9.42048,27.574439559410166,4.575045895336544,37.7146,8.63941,37.28666343231555,5.665314046478131,84.19,7.93101,83.38471671665563,11.61658805687326,148.24581970838136,21.856947998687936,149.84842086864734,149.856,9.0,39,2700.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
27.8289,9.90484,27.414104655014018,4.786913533158791,37.7237,9.23067,37.23519847289869,6.051242547927106,83.5288,7.98549,82.71884479778252,11.604014165812128,147.3681479256952,22.442170246898023,149.06717287330682,149.0814,10.0,40,0.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
28.4458,9.69816,28.039277643295364,4.791914740706135,38.4602,9.09566,37.97659313637741,6.079914291669941,85.1006,8.28817,84.21177304288747,12.267412169370168,150.22764382256025,23.139241201746245,151.99924161610352,152.0066,10.0,41,900.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
32.2887,9.80634,31.81693168060123,5.499364156150561,42.4325,9.19321,41.88746324965685,6.7791945508774765,88.912,8.21442,87.99978983933826,12.703571632903039,161.70418476959634,24.982130339931075,163.62258465236715,163.6332,10.0,42,1800.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
36.0393,10.5768,35.42698340873562,6.6151334867235,46.4703,10.1867,45.73777415861971,8.218564175395812,93.8253,8.51484,92.79111499708847,13.892296343193303,173.9558725644438,28.725994005312614,176.3117362266343,176.3349,10.0,43,2700.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
38.7998,10.3723,38.165758072133805,6.985656076515156,49.506,9.80644,48.78265599447796,8.431874650658862,101.879,9.12718,100.58907621319833,16.16070504573915,187.5374902798101,31.578235772913168,190.1775360945124,190.1848,11.0,44,0.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
40.3751,10.3699,39.71561997033816,7.267615178425262,51.4349,9.98378,50.65601472716777,8.917236677971559,105.287,8.99814,103.99127694583376,16.467139647640895,194.3629116433397,32.65199150403772,197.08651392638822,197.097,11.0,45,900.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
45.716,10.4718,44.95457632387454,8.308954419235823,57.1935,10.2436,56.28186809545363,10.170927486515623,112.733,8.93581,111.36475714957648,17.510572635292597,212.60120156890463,35.990454541044045,215.62602747955307,215.6425,11.0,46,1800.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
49.2637,10.2555,48.47664400258115,8.770810905327538,61.1614,9.86503,60.25707231950096,10.47864902754312,118.739,9.44996,117.12763717819554,19.495300204228418,225.86135350027766,38.74476013709908,229.1604403972438,229.16410000000002,11.0,47,2700.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
48.9378,10.007,48.19328627403692,8.503847773139219,61.3152,9.82329,60.416235110699326,10.460988772037854,119.517,9.20971,117.97632494955747,19.12851380521821,226.5858463342937,38.09335035039528,229.76563951110296,229.76999999999998,12.0,48,0.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
51.8013,10.569,50.9224770903329,9.501368778998186,64.6709,10.4282,63.60269861992408,11.705641164545765,123.485,9.1789,121.90378404577767,19.698036966164985,236.42895975603466,40.905046909708936,239.9414009169867,239.9572,12.0,49,900.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
52.6702,10.692,51.75577743164871,9.77187139117385,65.9979,10.2759,64.93930420802089,11.773256702719108,125.782,9.80057,123.94636329322209,21.41052429027853,240.6414449328917,42.955652384171486,244.4452762708654,244.45010000000002,12.0,50,1800.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
54.2307,10.619,53.3019610042379,9.993486658454177,68.2942,10.407,67.17072004121572,12.336617153199697,128.436,9.59951,126.63757019121903,21.418027735159853,247.11025123667264,43.748131546813724,250.95293439226566,250.9609,12.0,51,2700.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
55.7971,11.0782,54.75736813767314,10.72133401426046,70.808,10.9488,69.51910322175449,13.448685855615995,130.996,9.41614,129.23097485189913,21.43145246659265,253.50744621132677,45.6014723364691,257.57624029370896,257.60110000000003,13.0,52,0.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
57.0367,10.984,55.991812130202995,10.867479986917543,72.9284,10.619,71.6794497010266,13.439048222176915,133.684,10.0265,131.64228882107471,23.274871641939157,259.31355065230434,47.581399851033616,263.6427642923074,263.6491,13.0,53,900.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
57.9219,10.7607,56.903375082627875,10.814453468195468,74.7117,10.6877,73.41564864427377,13.855708247164426,135.514,9.69823,133.5773252006869,22.828543278754026,263.8963489275885,47.49870499411392,268.13692389044337,268.1476,13.0,54,1800.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
59.7415,11.2142,58.600854752627484,11.61837529568815,77.1843,11.1938,75.71595882719802,14.983649267386541,138.211,9.6402,136.2592928515591,23.144883507873942,270.57610643138463,49.746908070948635,275.1112215708174,275.1368,13.0,55,2700.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
60.0343,10.9699,58.93731054795333,11.424123680357717,77.7969,10.6155,76.46544881002642,14.331531247261331,139.775,10.2065,137.56313219111604,24.76762577982661,272.9658915490958,50.52328070744566,277.6021971142089,277.6062,14.0,56,0.0,uhs19_1247_circuit_57_1,uhs19,circuit_57,1,data,,,,,
