 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
2956.58,16.3967,2836.3365851597573,834.6017445969582,3136.94,16.5337,3007.2354299030408,892.708033309813,3534.42,17.287,3374.7640532748005,1050.282019804319,9218.3360683376,2777.5917977110903,9627.706687655469,9627.94,11.0,47,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2907.15,16.0079,2794.421426090829,801.7044442339705,3017.19,15.7115,2904.459979282447,817.0359385281704,3488.06,16.7367,3340.2996172881935,1004.4705223869671,9039.181022661469,2623.210905149108,9412.121387516017,9412.4,12.0,48,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2911.62,16.3647,2793.6637033748702,820.3500087437101,3054.42,15.9234,2937.2198962269804,837.9861679099286,3517.17,16.9705,3364.0154065053516,1026.5890870716653,9094.899006107202,2684.925263725304,9482.932647819458,9483.21,12.0,49,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3106.73,17.3193,2965.8726483063106,924.8625448835693,3195.0,16.755,3059.360132291008,921.0540597317539,3593.61,17.3245,3430.580682532839,1070.116354763594,9455.813463130158,2916.0329593789174,9895.234028040859,9895.34,12.0,50,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3091.36,17.1478,2953.940929956892,911.4491932770657,3159.68,16.6127,3027.7925116816946,903.3549737529836,3527.32,17.1907,3369.741732323627,1042.509971096951,9351.475173962213,2857.314138127,9778.258127763454,9778.36,12.0,51,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3020.33,16.6656,2893.4605898941372,866.1865408960532,3170.65,16.6242,3038.1226097276794,907.1011138574765,3514.59,17.1139,3358.969761831319,1034.2461057228377,9290.552961453135,2807.533760476367,9705.494327739323,9705.57,13.0,52,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3001.58,16.4003,2879.45320231547,847.4855468237694,3127.26,16.3918,3000.1505551859586,882.5257808230789,3493.08,17.3465,3334.211725104863,1041.460541054367,9213.815482606293,2771.4718687012155,9621.613797410371,9621.92,13.0,53,900.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
3016.61,16.5746,2891.2672295668635,860.5287324271945,3085.47,16.5388,2957.815415322636,878.3240232282047,3476.08,17.4191,3316.669014753677,1040.5954127195037,9165.751659643176,2779.4481683749027,9577.908728262879,9578.16,13.0,54,1800.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2976.03,16.6624,2851.06908094947,853.322715362685,3069.65,16.5777,2942.055989390121,875.8182903968823,3465.6,17.4331,3306.416023839243,1038.2660724973587,9099.541094178834,2767.407078256926,9511.056201150104,9511.28,13.0,55,2700.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
2994.36,16.9977,2863.5558502214544,875.351187959714,3082.09,16.5109,2955.00213373823,875.9230318369935,3509.72,17.6725,3344.0868261134574,1065.4659909234188,9162.644810073143,2816.740210720126,9585.827315899654,9586.17,14.0,56,0.0,uhs12_1247_circuit_42_1,uhs12,circuit_42,1,data,,,,,
