 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
4264.17,15.7046,4104.9886111995365,1154.2158770447143,4357.19,17.9473,4145.17063450001,1342.6336458538417,4078.97,17.3346,3893.70744724317,1215.3347588969364,12143.866692942716,3712.184281795492,12698.575132587632,12700.33,17.0,70,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4438.24,15.8058,4270.4320359166095,1208.8773817956574,4535.07,17.6044,4322.681083170911,1371.600582566352,4185.86,17.0747,4001.3588462639846,1229.0448824290154,12594.471965351506,3809.5228467910247,13158.008527366435,13159.169999999998,17.0,71,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4371.66,15.7988,4206.514842603578,1190.228563997605,4455.96,17.6263,4246.760578728031,1349.2976352760572,4182.07,16.8333,4002.8739551811877,1211.0778603508984,12456.149376512796,3750.6040596245607,13008.562107399586,13009.689999999999,18.0,72,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4455.83,15.7802,4287.8988098318805,1211.7527741013603,4516.97,17.4608,4308.839139236853,1355.3314181707046,4242.92,16.8235,4061.326715065157,1228.0046579301172,12658.064664133892,3795.0888502021817,13214.738000517602,13215.72,18.0,73,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4588.02,15.8816,4412.891786850741,1255.5132806726028,4659.79,17.402,4446.510896523298,1393.6225067067421,4333.94,16.7874,4149.240634153195,1251.7340306518745,13008.643317527234,3900.8698180312194,13580.927298968687,13581.75,18.0,74,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4403.42,15.7892,4237.275881236435,1198.1655990271088,4532.35,17.5345,4321.757581099106,1365.5064747969575,4188.26,16.7487,4010.585213461375,1206.9499049939811,12569.618675796915,3770.621978818048,13122.991418197618,13124.03,18.0,75,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4331.38,15.3369,4177.127764716482,1145.6248695077677,4514.0,17.1038,4314.361629571961,1327.5841703173355,4125.95,16.1681,3962.76400663218,1148.8972235324063,12454.253400920623,3622.1062633575093,12970.276849681992,12971.330000000002,19.0,76,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4303.55,15.2391,4152.225758923046,1131.1780803374572,4497.51,16.9814,4301.416848471444,1313.5483606574967,4124.44,16.0215,3964.239311998418,1138.3373800443799,12417.881919392908,3583.0638210393336,12924.478237423215,12925.5,19.0,77,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3867.66,15.0138,3735.6314708569007,1001.9238441835334,4113.21,16.7652,3938.3774804355357,1186.4566261344078,3774.77,16.196,3624.9613092013956,1052.8741898692858,11298.970260493832,3241.2546601872273,11754.678248242675,11755.64,19.0,78,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3939.87,14.6544,3811.7036838381346,996.7400079834221,4140.51,16.2378,3975.3426407777206,1157.7883867591784,3778.4,15.6703,3637.963999135998,1020.5510771100165,11425.010323751852,3175.079471852617,11857.992686387368,11858.78,19.0,79,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3974.13,14.4533,3848.3543321413517,991.9063419440829,4107.62,16.0297,3947.9103396614896,1134.2601176070257,3741.39,15.511,3605.1253188141645,1000.5351406847572,11401.389990617005,3126.7016002358655,11822.349877036255,11823.14,20.0,80,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3960.73,14.456,3835.3318343021188,988.7425618879486,4077.59,16.3086,3913.5206373373703,1145.031191380612,3770.65,15.8409,3627.453472685124,1029.2631956912855,11376.305944324613,3163.036948959846,11807.842295667771,11808.97,20.0,81,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3925.1,14.569,3798.890024602514,987.3421853519214,4042.45,16.3985,3878.0086555556136,1141.249696576407,3723.84,16.0149,3579.3177056315117,1027.3602619104797,11256.21638578964,3155.9521438388083,11690.271222598727,11691.39,20.0,82,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3861.04,14.2561,3742.138105168477,950.8061229536131,4058.59,16.3698,3894.065559165084,1143.8558515059158,3701.6,15.9322,3559.4111561593804,1016.0879791672288,11195.614820492941,3110.749953626758,11619.748555060478,11621.23,20.0,83,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3979.83,14.8937,3846.125011153685,1022.9219068326115,4236.52,16.5357,4061.3084789265517,1205.7674524547863,3874.85,16.1161,3722.5730113471586,1075.5987624061993,11630.006501427395,3304.2881216935966,12090.300708187902,12091.2,21.0,84,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3988.85,14.2611,3865.9264227179874,982.617533240122,4260.99,16.0829,4094.222846235481,1180.4130910251022,3808.95,15.6171,3668.3321911092303,1025.397014902888,11628.481460062698,3188.4276391681124,12057.680202975738,12058.79,21.0,85,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
4046.31,15.1535,3905.6156078523113,1057.7293320128833,4241.56,17.0661,4054.7906307041053,1244.790815661092,3850.18,16.0486,3700.12903812256,1064.3923776701038,11660.535276678977,3366.912525344079,12136.893461343134,12138.050000000001,21.0,86,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3759.08,14.905,3632.6006281665527,966.8997479800919,3991.5,16.9721,3817.6582486502066,1165.1428009102729,3594.61,15.93,3456.568827058229,986.5865374660741,10906.827703874987,3118.629086356439,11343.929563439793,11345.19,21.0,87,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3806.54,14.7861,3680.487689726695,971.4716348768267,4034.55,17.0771,3856.6685488473217,1184.7790540146693,3672.07,16.2225,3525.8630521358673,1025.859553000872,11063.019290709883,3182.110241892368,11511.569025036306,11513.16,22.0,88,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3751.14,15.1109,3621.4370377800433,977.877845640704,3992.9,17.2859,3812.5564869320606,1186.4499331839777,3564.35,16.4299,3418.8051251782463,1008.1480241288756,10852.79864989035,3172.475802953557,11306.98196935803,11308.39,22.0,89,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3788.42,16.0385,3640.960539802631,1046.6768574876073,3993.96,18.0324,3797.7831520151367,1236.3493081932684,3562.31,16.9783,3407.048211950551,1040.2283487506738,10845.791903768319,3323.2545144315495,11343.51015283788,11344.69,22.0,90,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3738.74,15.2343,3607.358293142948,982.4168832490595,4000.99,17.4281,3817.318764363267,1198.3315197974634,3537.54,16.4017,3393.58192118027,998.8948872821535,10818.258978686485,3179.6432903286764,11275.852907149105,11277.27,22.0,91,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3601.81,15.2526,3474.9376361374752,947.5461471903594,3933.94,17.6056,3749.6786173854366,1189.8715014330078,3496.86,16.2216,3357.644549245217,976.8587106249732,10582.260802768129,3114.2763592483407,11030.999997261168,11032.61,23.0,92,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3579.89,15.849,3443.7997102837676,977.6788672920354,3923.26,18.305,3724.735483940278,1232.199091979938,3617.11,16.8822,3461.226484613887,1050.4265677844385,10629.761678837931,3260.3045270564116,11118.516940583215,11120.26,23.0,93,900.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3632.39,16.1191,3489.5886014722155,1008.478311405448,3946.44,18.7878,3736.1652264611057,1271.0067168126363,3685.91,17.003,3524.796832294721,1077.8403495625405,10750.550660228042,3357.325377780625,11262.59176168698,11264.74,23.0,94,1800.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3609.95,16.2504,3465.724919447756,1010.1929445501223,3902.27,18.892,3692.0569667441487,1263.4977274281096,3604.28,16.8148,3450.178309942391,1042.6427710405271,10607.960196134296,3316.3334430187588,11114.265024195447,11116.5,23.0,95,2700.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
3713.02,16.7462,3555.5525765699363,1069.8426966834368,3951.57,19.2127,3731.4811898642943,1300.3667154264426,3748.14,16.7044,3589.9700824005604,1077.343151957125,10877.003848834791,3447.5525640670044,11410.294974695958,11412.73,24.0,96,0.0,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,data,,,,,
,,,,,,,,,,,,,,,,,0,,uhs13_1247_circuit_44_1,uhs13,circuit_44,1,summary,3864.0,1938.0,16.0,8.0,1000.0
