Unnamed: 0,Values,Differentiator
174,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
175,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
176,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
177,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
178,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
179,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
180,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
181,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
182,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
183,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
184,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
185,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
186,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
187,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
188,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
189,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
190,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
191,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
192,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
193,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
194,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
195,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
196,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
197,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
198,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
199,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
200,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
201,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
202,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
203,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
204,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
205,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
206,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
207,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
208,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
209,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
210,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
211,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
212,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
213,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
214,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
215,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
216,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
217,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
218,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
219,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
220,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
221,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
222,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
223,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
224,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
225,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
226,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
227,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
228,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
229,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
230,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
231,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
232,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
233,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
234,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
235,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
236,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
237,0.0257599999999999,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
238,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
239,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
240,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
241,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
242,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
243,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
244,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
245,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
246,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
247,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
248,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
249,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
250,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
251,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
252,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
253,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
254,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
255,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
256,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
257,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
258,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
259,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
260,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
261,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
262,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
263,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
264,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
265,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
266,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
267,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
268,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
269,0.0,Weekday - Level 1 - Diversified (75th percentile) of 100 EVs.csv_pif
