folder,building_id,baseline_demand,uncontrolled_demand,demand_management_demand,uncontrolled_scenario_name,demand_management_scenario_name,uncontrolled_diff,demand_management_diff,uncontrolled_scenario_id,demand_management_scenario_id
parquet_commercial_202512_comm_MT,184270,452310.02325250756,957082.196792867,452310.02325250756,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",504772.1735403595,0.0,1,9
parquet_commercial_202512_comm_MT,184276,838995.8658973646,918069.6571517464,830822.5243087324,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",79073.79125438188,-8173.341588632204,1,2
parquet_commercial_202512_comm_MT,184278,393478.88712685625,393478.88712685625,393478.88712685625,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184279,324123.1964676373,324123.1964676373,324123.1964676373,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184280,113768.98843374383,165625.84199487328,113768.98843374383,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",51856.85356112945,0.0,1,9
parquet_commercial_202512_comm_MT,184285,334520.115244935,334520.115244935,334520.115244935,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184287,188412.71168349482,255915.0041108238,188412.71168349482,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",67502.29242732897,0.0,1,9
parquet_commercial_202512_comm_MT,184288,107834.94971850033,107834.94971850033,107834.94971850033,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184291,2112551.6448065215,2779328.8462023214,2112551.6448065215,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",666777.2013957999,0.0,1,9
parquet_commercial_202512_comm_MT,184294,1915463.576568746,1769360.9456831361,1769360.9456831361,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-146102.6308856099,-146102.6308856099,1,2
parquet_commercial_202512_comm_MT,184295,1318010.6280416315,2094273.1590168423,1318010.6280416315,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",776262.5309752107,0.0,1,9
parquet_commercial_202512_comm_MT,184297,147191.83552071018,193075.87115784,147191.83552071018,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",45884.035637129826,0.0,1,9
parquet_commercial_202512_comm_MT,184300,1015792.5610696012,1360888.1426565326,1015792.5610696012,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",345095.58158693137,0.0,8,2
parquet_commercial_202512_comm_MT,184301,207105.62655884688,298694.64485768415,207105.62655884688,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",91589.01829883727,0.0,1,9
parquet_commercial_202512_comm_MT,184307,639713.1604631641,845663.1970168656,639713.1604631641,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",205950.0365537015,0.0,1,9
parquet_commercial_202512_comm_MT,184308,2939123.7004089914,2939123.7004089914,2939123.7004089914,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184310,1793172.5567906846,1793172.5567906846,1793172.5567906846,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184313,142841.47632412793,142841.47632412793,142841.47632412793,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",0.0,0.0,1,2
parquet_commercial_202512_comm_MT,184315,131629.13775656687,257119.25882445526,131629.13775656687,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",125490.1210678884,0.0,8,2
parquet_commercial_202512_comm_MT,184323,1584579.6039229892,1791057.3559551458,1584579.6039229892,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",206477.75203215657,0.0,1,9
parquet_commercial_202512_comm_MT,184325,153718.4465758449,289938.63775013643,153718.4465758449,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",136220.19117429154,0.0,1,9
parquet_commercial_202512_comm_MT,184331,808546.0703465384,1042153.7319900474,808546.0703465384,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",233607.66164350894,0.0,1,9
parquet_commercial_202512_comm_MT,184336,1090484.7754192587,1184773.6506366355,1090484.7754192587,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",94288.87521737674,0.0,1,9
parquet_commercial_202512_comm_MT,184338,442337.85102671175,458847.6131732234,429822.2288562155,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",16509.76214651164,-12515.622170496266,1,2
parquet_commercial_202512_comm_MT,184340,2758744.4524744707,3662870.3996176175,2758744.4524744707,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",904125.9471431468,0.0,8,2
parquet_commercial_202512_comm_MT,184342,360116.8241877998,438642.569687548,360116.8241877998,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",78525.74549974815,0.0,1,9
parquet_commercial_202512_comm_MT,184349,5023703.125480463,7751289.185251021,5023703.125480463,"HP Boiler, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",2727586.059770558,0.0,8,2
parquet_commercial_202512_comm_MT,184354,943643.404647295,963441.4492323052,876899.2840163825,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",19798.044585010153,-66744.12063091248,1,2
parquet_commercial_202512_comm_MT,184358,366866.596247599,408077.684392006,366866.596247599,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",41211.088144407026,0.0,1,9
parquet_commercial_202512_comm_MT,184361,303193.738642634,446219.0747859265,303193.738642634,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",143025.3361432925,0.0,1,9
parquet_commercial_202512_comm_MT,184362,1021971.8627230359,1015134.6492306289,941720.1537369662,"Variable Speed HP RTU, Electric Backup","Variable Speed HP RTU, Original Heating Fuel Backup",-6837.213492406998,-80251.70898606966,1,2
parquet_commercial_202512_comm_MT,184363,474874.3109963162,715299.163775285,474874.3109963162,"Variable Speed HP RTU, Electric Backup","HP Boiler, Gas Backup",240424.8527789688,0.0,1,9
