bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
509941,0,2678,111217.0,100-120%,,4,Cold,In another census Place,G5000070,,Single-Family Detached,2,Fuel Oil,72F,No,0F,,,,,"Fuel Boiler, 80% AFUE",Non-Ducted Heating,Fuel Oil Fuel Boiler,,,,100000-119999,6,50%,99%,Occupied,Electric Standard,Electricity,0.0,0.0,154.2,0,50,0.0,291.6057148213611,0.0,0.0,3698.556905573444,9537.411836614629,106273.7245369214,0.0,0.0,106273.7245369214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115811.13637353602,0.0,285158.0,11631.0,7.632899999999999,8.5741,0.0,167.226,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
510277,0,2678,42354.0,30-60%,,4,Cold,In another census Place,G5000210,,Single-Family Detached,1,Other Fuel,70F,Yes,3F,Night,"Room AC, EER 12.0",<10% Conditioned,Room AC,"Fuel Wall/Floor Furnace, 60% AFUE",Non-Ducted Heating,Other Fuel Fuel Wall/Floor Furnace,,,,40000-44999,7,50%,99%,Occupied,Propane Tankless,Propane,2.43,0.0,60.94,0,0,0.0,0.0,0.0,0.0,0.0,6349.3847352811945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5596.7782270789285,5596.7782270789285,11946.162962360122,2193.0,92066.0,14401.0,5.202,5.355899999999999,2.528,60.777,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
510512,0,2179,108692.0,150%+,,3,Cold,Not in a census Place,G5000150,,Mobile Home,1,Fuel Oil,67F,No,0F,,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,100000-119999,2,100%,137%,Occupied,Electric Standard,Electricity,0.0,0.0,90.98,0,50,0.0,1269.876947056239,0.0,0.0,2732.301587215628,11545.534809434695,49385.69910579134,0.0,0.0,49385.69910579134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60931.23391522604,0.0,139132.0,8251.0,6.3581,9.0093,0.0,90.6,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
510630,0,1228,129243.0,150%+,,2,Cold,Not in a census Place,G5000070,,Single-Family Detached,1,Fuel Oil,72F,Yes,3F,Day and Night -2h,"Room AC, EER 10.7",20% Conditioned,Room AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,120000-139999,3,50%,99%,Occupied,Propane Standard,Propane,4.13,0.0,76.74,0,30,0.0,792.1711026755166,0.0,0.0,0.0,6201.09077377405,36451.00742374031,0.0,0.0,36451.00742374031,0.0,0.0,0.0,0.0,0.0,0.0,3994.851757517561,4752.733544982927,47404.831742497285,2592.0,117593.0,6780.0,4.8797,5.0101,4.621,78.46,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
510648,0,1698,149501.0,150%+,,3,Cold,Not in a census Place,G5000030,,Single-Family Detached,2,Fuel Oil,80F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,140000-159999,3,100%,99%,Occupied,Electric Standard,Electricity,4.17,0.0,98.07,0,50,0.0,2069.960968626405,0.0,0.0,3962.320868728444,11534.105037697978,81401.07588247507,0.0,0.0,81401.07588247507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92935.18092017304,1410.0,229249.0,12599.0,14.1929,16.5059,3.619,101.542,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
510669,0,623,12655.0,0-30%,,1,Cold,Not in a census Place,G5000010,,3 or 4 Unit,2,Fuel Oil,70F,Yes,3F,Day and Night +3h,,,,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,10000-14999,2,100%,121%,Occupied,Electric Standard,Electricity,0.0,0.0,32.29,0,30,0.0,344.06543638218886,0.0,0.0,2363.3251098688,5688.802543113006,13730.086566498438,0.0,0.0,13730.086566498438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19418.88910961145,0.0,38597.0,7047.0,4.3629,4.5855,0.0,34.026,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
512275,0,2179,12655.0,0-30%,,3,Cold,Not in a census Place,G5000190,,Single-Family Detached,1,Fuel Oil,62F,No,0F,,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,10000-14999,2,50%,99%,Occupied,FIXME Fuel Oil Indirect,Fuel Oil,2.69,0.0,60.09,0,40,0.0,640.6533593964778,0.0,0.0,0.0,3989.283407184289,24919.540025673883,0.0,2966.172301213061,27885.712326886947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31874.995734071235,2299.0,70204.0,4283.0,4.2081,4.736,3.923,52.527,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
512804,0,2179,55558.0,60-80%,,4,Cold,Not in a census Place,G5000210,,Single-Family Detached,1,Natural Gas,70F,No,0F,,"Room AC, EER 10.7",60% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,4,50%,99%,Occupied,Natural Gas Standard,Natural Gas,20.33,0.0,188.1,0,40,0.0,2753.6957753382003,0.0,0.0,0.0,8049.196942280083,0.0,0.0,0.0,0.0,108278.91679903974,0.0,4451.163413775711,112729.78714174528,0.0,0.0,0.0,0.0,120778.98408402536,11432.0,304937.0,8114.000000000001,10.1669,10.5442,24.291,164.676,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
513274,0,5587,168947.0,120-150%,,5,Cold,In another census Place,G5000070,,Single-Family Detached,2,Fuel Oil,65F,No,0F,,"Room AC, EER 9.8",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,160000-179999,6,100%,99%,Occupied,Fuel Oil Standard,Fuel Oil,4.39,0.0,103.96,0,50,0.0,1119.2384169877166,0.0,0.0,0.0,11801.092782624874,44665.20337852735,0.0,9951.228187697803,54616.43156622516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66417.52434885004,8117.000000000001,125727.0,23063.0,9.195,9.5482,7.393,88.719,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
514947,0,2179,27012.0,30-60%,,4,Cold,Not in a census Place,G5000010,,Single-Family Detached,1,Fuel Oil,70F,Yes,3F,Night -5h,"Room AC, EER 12.0",20% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Fuel Oil Fuel Furnace,,,,25000-29999,1,50%,99%,Occupied,Fuel Oil Standard,Fuel Oil,3.26,0.0,76.05,0,40,0.0,742.0559496760667,0.0,0.0,0.0,6574.463317173461,29589.627528868245,0.0,2207.411300537178,31797.03882940542,0.0,0.0,0.0,1431.3591067211337,0.0,0.0,0.0,0.0,39802.86125330001,4444.0,83129.0,2414.0,8.8254,9.817,5.172,72.508,Metadata_VT_Residential_VT_baseline_metadata_and_annual_results.csv,VT
