geography,urbanicity,feeder_id,load_count,smart_ds_relpath,feeder_path
GSO,urban-suburban,uhs14_1247,2731,GSO/urban-suburban/base_timeseries/opendss/uhs14_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs14_1247/uhs14_1247--udt12226
GSO,urban-suburban,uhs14_1247,1915,GSO/urban-suburban/base_timeseries/opendss/uhs14_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs14_1247/uhs14_1247--udt5493
GSO,urban-suburban,uhs15_1247,3627,GSO/urban-suburban/base_timeseries/opendss/uhs15_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs15_1247/uhs15_1247--udt19670
GSO,urban-suburban,uhs15_1247,768,GSO/urban-suburban/base_timeseries/opendss/uhs15_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs15_1247/uhs15_1247--udt20824
GSO,urban-suburban,uhs16_1247,2427,GSO/urban-suburban/base_timeseries/opendss/uhs16_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs16_1247/uhs16_1247--udt15512
GSO,urban-suburban,uhs16_1247,3384,GSO/urban-suburban/base_timeseries/opendss/uhs16_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs16_1247/uhs16_1247--udt310
GSO,urban-suburban,uhs17_1247,4356,GSO/urban-suburban/base_timeseries/opendss/uhs17_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs17_1247/uhs17_1247--udt6592
GSO,urban-suburban,uhs17_1247,1576,GSO/urban-suburban/base_timeseries/opendss/uhs17_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs17_1247/uhs17_1247--udt9551
GSO,urban-suburban,uhs18_1247,3521,GSO/urban-suburban/base_timeseries/opendss/uhs18_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs18_1247/uhs18_1247--udt11616
GSO,urban-suburban,uhs18_1247,1050,GSO/urban-suburban/base_timeseries/opendss/uhs18_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs18_1247/uhs18_1247--udt13374
GSO,urban-suburban,uhs18_1247,2386,GSO/urban-suburban/base_timeseries/opendss/uhs18_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs18_1247/uhs18_1247--udt17294
GSO,urban-suburban,uhs19_1247,12,GSO/urban-suburban/base_timeseries/opendss/uhs19_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs19_1247/uhs19_1247--udt15839
GSO,urban-suburban,uhs19_1247,1317,GSO/urban-suburban/base_timeseries/opendss/uhs19_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs19_1247/uhs19_1247--udt19872
GSO,urban-suburban,uhs1_1247,2179,GSO/urban-suburban/base_timeseries/opendss/uhs1_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs1_1247/uhs1_1247--udt15926
GSO,urban-suburban,uhs1_1247,4311,GSO/urban-suburban/base_timeseries/opendss/uhs1_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs1_1247/uhs1_1247--udt20176
GSO,urban-suburban,uhs20_1247,1689,GSO/urban-suburban/base_timeseries/opendss/uhs20_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs20_1247/uhs20_1247--udt5173
GSO,urban-suburban,uhs20_1247,2173,GSO/urban-suburban/base_timeseries/opendss/uhs20_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs20_1247/uhs20_1247--udt8894
GSO,urban-suburban,uhs20_1247,734,GSO/urban-suburban/base_timeseries/opendss/uhs20_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs20_1247/uhs20_1247--udt9897
GSO,urban-suburban,uhs2_1247,1382,GSO/urban-suburban/base_timeseries/opendss/uhs2_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs2_1247/uhs2_1247--udt10746
GSO,urban-suburban,uhs2_1247,2174,GSO/urban-suburban/base_timeseries/opendss/uhs2_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs2_1247/uhs2_1247--udt12473
GSO,urban-suburban,uhs2_1247,1532,GSO/urban-suburban/base_timeseries/opendss/uhs2_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs2_1247/uhs2_1247--udt9312
GSO,urban-suburban,uhs3_1247,1527,GSO/urban-suburban/base_timeseries/opendss/uhs3_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs3_1247/uhs3_1247--udt1567
GSO,urban-suburban,uhs3_1247,855,GSO/urban-suburban/base_timeseries/opendss/uhs3_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs3_1247/uhs3_1247--udt1571
GSO,urban-suburban,uhs3_1247,518,GSO/urban-suburban/base_timeseries/opendss/uhs3_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs3_1247/uhs3_1247--udt1582
GSO,urban-suburban,uhs4_1247,1021,GSO/urban-suburban/base_timeseries/opendss/uhs4_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs4_1247/uhs4_1247--p1umv7
GSO,urban-suburban,uhs4_1247,382,GSO/urban-suburban/base_timeseries/opendss/uhs4_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs4_1247/uhs4_1247--p1umv8
GSO,urban-suburban,uhs4_1247,921,GSO/urban-suburban/base_timeseries/opendss/uhs4_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs4_1247/uhs4_1247--udt11389
GSO,urban-suburban,uhs4_1247,470,GSO/urban-suburban/base_timeseries/opendss/uhs4_1247,D:/lvg/GSO/urban-suburban/base_timeseries/opendss/uhs4_1247/uhs4_1247--udt12982
