Source_File,State,Matched_Buildings,Tolerance
com_13164.parquet,WA,"[333897, 340030]",30
com_13167.parquet,WA,"[333509, 334589, 334596, 335027, 335043, 335128, 335360, 335789, 337234, 337774, 339845, 339909, 339987]",20
com_13169.parquet,WA,"[333670, 334056, 334408, 336306, 336547, 338986, 339594, 339920]",20
com_13171.parquet,WA,"[334005, 334860, 338317, 339251]",30
com_13172.parquet,WA,"[334758, 339629, 333598, 334982, 336383, 336893, 337591, 338493, 338709, 339923]",20
com_13175.parquet,WA,[336074],15
com_13178.parquet,WA,"[335621, 338380]",20
com_13182.parquet,WA,"[333563, 333779, 336068, 337332]",20
com_13187.parquet,WA,"[333509, 334589, 335027, 335226, 335360, 335376, 337402, 338823, 339054]",15
com_13188.parquet,WA,"[335510, 338808]",15
com_13190.parquet,WA,"[338973, 333596, 333729, 333821, 334048, 334788, 334955, 336940, 336965, 337027, 337188, 337291, 338048, 338080, 338181, 338412, 338512, 338697, 338775, 339834, 340347]",20
com_13193.parquet,WA,"[333892, 334053, 334346, 335510, 335869, 336297, 336785, 337121, 337184, 337302, 338870, 339238, 340003]",20
com_13194.parquet,WA,[336777],25
com_13196.parquet,WA,[334164],5
com_13202.parquet,WA,"[333513, 333744, 334331, 334507, 335012, 335527, 336308, 337912, 338000, 338396, 340087, 340145]",20
com_13210.parquet,WA,[336568],10
com_13212.parquet,WA,[333926],20
com_13217.parquet,WA,"[333648, 335930, 337007, 339070]",20
com_13219.parquet,WA,"[333572, 336258, 336368, 339736]",15
com_13221.parquet,WA,"[333976, 338976, 338999, 339486]",25
com_13223.parquet,WA,"[333976, 338976]",25
com_13224.parquet,WA,[335728],15
com_13226.parquet,WA,"[334110, 334391, 334520, 335479, 338049, 339294, 339325, 340147]",30
com_13229.parquet,WA,[334626],20
com_13230.parquet,WA,"[333879, 334328, 334514, 334587, 335289, 335593, 335660, 336195, 336405, 336645, 337321, 337732, 337772, 337812, 337924, 337968, 338456, 338591, 339357, 339936]",20
