bldg_id,Occurrence_Count,Unique_Source_Files
259724,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
261603,7,"['res_1174.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
286590,7,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet']"
291173,6,"['res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
306494,8,"['res_1174.parquet', 'res_98.parquet', 'res_88.parquet', 'res_584.parquet', 'res_618.parquet', 'res_966.parquet', 'res_904.parquet', 'res_101.parquet']"
310066,8,"['res_98.parquet', 'res_584.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_966.parquet', 'res_75.parquet', 'res_101.parquet']"
329943,5,"['res_88.parquet', 'res_618.parquet', 'res_75.parquet', 'res_958.parquet', 'res_101.parquet']"
330515,5,"['res_88.parquet', 'res_324.parquet', 'res_618.parquet', 'res_75.parquet', 'res_101.parquet']"
335291,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
340566,5,"['res_88.parquet', 'res_618.parquet', 'res_75.parquet', 'res_958.parquet', 'res_101.parquet']"
341814,7,"['res_98.parquet', 'res_88.parquet', 'res_1091.parquet', 'res_618.parquet', 'res_75.parquet', 'res_958.parquet', 'res_101.parquet']"
342900,6,"['res_1174.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
345286,7,"['res_1174.parquet', 'res_584.parquet', 'res_88.parquet', 'res_618.parquet', 'res_958.parquet', 'res_101.parquet', 'res_807.parquet']"
356918,4,"['res_88.parquet', 'res_958.parquet', 'res_101.parquet', 'res_618.parquet']"
359391,5,"['res_88.parquet', 'res_618.parquet', 'res_101.parquet', 'res_958.parquet', 'res_807.parquet']"
