bldg_id,Occurrence_Count,Unique_Source_Files
180151,4,"['res_394.parquet', 'res_1006.parquet', 'res_798.parquet', 'res_560.parquet']"
354862,4,"['res_560.parquet', 'res_1006.parquet', 'res_798.parquet', 'res_257.parquet']"
384882,2,"['res_560.parquet', 'res_1006.parquet']"
277511,29,"['res_905.parquet', 'res_140.parquet', 'res_672.parquet', 'res_1102.parquet', 'res_112.parquet', 'res_1012.parquet', 'res_846.parquet', 'res_790.parquet', 'res_605.parquet', 'res_1178.parquet', 'res_1198.parquet', 'res_775.parquet', 'res_1121.parquet', 'res_138.parquet', 'res_192.parquet', 'res_496.parquet', 'res_1078.parquet', 'res_1077.parquet', 'res_1009.parquet', 'res_1088.parquet', 'res_1014.parquet', 'res_1179.parquet', 'res_1180.parquet', 'res_1275.parquet', 'res_163.parquet', 'res_210.parquet', 'res_557.parquet', 'res_1189.parquet', 'res_186.parquet']"
2305,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
22364,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
26631,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
34166,8,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet', 'res_958.parquet']"
34692,5,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_88.parquet', 'res_958.parquet']"
46148,4,"['res_101.parquet', 'res_618.parquet', 'res_958.parquet', 'res_88.parquet']"
50840,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
60783,7,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
61271,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_75.parquet', 'res_958.parquet']"
65379,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
69250,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
87608,6,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
93494,5,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_958.parquet']"
95747,7,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
97647,6,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
100562,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
102878,5,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_88.parquet', 'res_958.parquet']"
110982,5,"['res_101.parquet', 'res_618.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet']"
127167,7,"['res_324.parquet', 'res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_88.parquet', 'res_75.parquet']"
128265,5,"['res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet', 'res_958.parquet']"
152166,5,"['res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet', 'res_958.parquet']"
158438,8,"['res_101.parquet', 'res_618.parquet', 'res_1091.parquet', 'res_98.parquet', 'res_966.parquet', 'res_584.parquet', 'res_88.parquet', 'res_958.parquet']"
161518,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
173597,5,"['res_101.parquet', 'res_475.parquet', 'res_618.parquet', 'res_88.parquet', 'res_958.parquet']"
174198,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
181347,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_98.parquet', 'res_584.parquet', 'res_88.parquet']"
190074,7,"['res_101.parquet', 'res_618.parquet', 'res_904.parquet', 'res_966.parquet', 'res_584.parquet', 'res_1174.parquet', 'res_88.parquet']"
191809,5,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_88.parquet', 'res_958.parquet']"
197974,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
206690,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
207524,6,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_1174.parquet', 'res_88.parquet', 'res_958.parquet']"
209727,5,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_88.parquet', 'res_958.parquet']"
210283,5,"['res_101.parquet', 'res_618.parquet', 'res_88.parquet', 'res_75.parquet', 'res_958.parquet']"
223527,5,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_88.parquet', 'res_958.parquet']"
227233,5,"['res_101.parquet', 'res_618.parquet', 'res_807.parquet', 'res_88.parquet', 'res_958.parquet']"
