Source_File,State,Matched_Buildings,Tolerance
res_1054.parquet,MI,"[1522, 6655, 18987, 22411, 29447, 30743, 31921, 45426, 49415, 59416, 66129, 69289, 69395, 94516, 101437, 107139, 107823, 111997, 112136, 112170, 119111, 128625, 139258, 147233, 149032, 149907, 153115, 159966, 163502, 165889, 166792, 167248, 168950, 185735, 192894, 193304, 196684, 198579, 200579, 205005, 207370, 216469, 218101, 235801, 245888, 249348, 253843, 255244, 259401, 268224, 275846, 283048, 291975, 292614, 295148, 297600, 298710, 298976, 313313, 317913, 322129, 329560, 330187, 331638, 337413, 345535, 360136, 362997, 367722, 373299, 379310, 384283, 386900, 386921, 388460, 395416, 400912, 412777, 413841, 417412, 421174, 423245, 431180, 433078, 442858, 451590, 452428, 462068, 466837, 471691, 489019, 493220, 495003, 502947, 509393, 515289, 517086, 526065, 533111, 536568, 540134, 540990, 544291, 546965, 549641]",10
res_106.parquet,MI,"[40706, 106520, 116626, 303733, 353696, 359438, 379150, 441477, 499831, 510991]",20
res_1066.parquet,MI,"[18936, 22618, 36297, 48165, 48407, 48732, 51119, 75884, 106337, 116475, 125134, 128362, 137668, 143570, 155446, 163080, 173223, 181840, 194218, 195816, 198195, 199124, 214127, 219941, 221320, 230065, 235285, 236819, 263197, 281403, 293740, 300087, 311873, 333143, 338060, 341111, 352274, 358541, 376265, 394670, 413006, 435145, 436927, 437562, 444943, 485867, 491827, 499002, 502281, 509755, 526150, 536408, 544611]",10
res_1067.parquet,MI,"[245364, 462196]",10
res_1069.parquet,MI,"[11769, 275600, 317050, 337756, 389263, 494010]",25
res_1070.parquet,MI,"[965, 8060, 11214, 23184, 30633, 36535, 38239, 38453, 41326, 42117, 46212, 59750, 68291, 88483, 95337, 95848, 96865, 96994, 97602, 100048, 100482, 100483, 103976, 105449, 111173, 112634, 113003, 117208, 124364, 126870, 130186, 136262, 139383, 141950, 142529, 142956, 148134, 164708, 165027, 172571, 178339, 179740, 184547, 186524, 190966, 192153, 195838, 198254, 199505, 201653, 204917, 208056, 212277, 213517, 214718, 221900, 223921, 224180, 227796, 235144, 235545, 235761, 236701, 238099, 239420, 246004, 256521, 261163, 261922, 264671, 267896, 269026, 269049, 276957, 280042, 280799, 289560, 289635, 298413, 299101, 304942, 308500, 313110, 313466, 315016, 319915, 330334, 335418, 336771, 336927, 345679, 364773, 378408, 385663, 388998, 390930, 392276, 393824, 395807, 397121, 403631, 403998, 406283, 409437, 418984, 419815, 420622, 422083, 422718, 427404, 430332, 435914, 438783, 440165, 446888, 447435, 450252, 451873, 452393, 455994, 458058, 459668, 464411, 469545, 469958, 472110, 472147, 477058, 485249, 486240, 488685, 488920, 492921, 505208, 507114, 507905, 509345, 510655, 513694, 518423, 519350, 520462, 523413, 523936, 531567, 534122, 540857, 541209, 545120, 545945, 549563]",15
res_1074.parquet,MI,[129325],10
res_1075.parquet,MI,"[1566, 43095, 57877, 140105, 223601, 260192, 260314, 265059, 336228, 377503, 482834, 485283, 511999]",10
res_1077.parquet,MI,"[129325, 277511]",20
res_1078.parquet,MI,[277511],10
