bldg_id,upgrade,in.sqft,in.representative_income,in.area_median_income,in.battery,in.bedrooms,in.building_america_climate_zone,in.city,in.county,in.electric_vehicle,in.geometry_building_type_acs,in.geometry_stories,in.heating_fuel,in.heating_setpoint,in.heating_setpoint_has_offset,in.heating_setpoint_offset_magnitude,in.heating_setpoint_offset_period,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_cooling_type,in.hvac_heating_efficiency,in.hvac_heating_type,in.hvac_heating_type_and_fuel,in.hvac_secondary_heating_efficiency,in.hvac_secondary_heating_fuel,in.hvac_secondary_heating_partial_space_conditioning,in.income,in.occupants,in.plug_load_diversity,in.plug_loads,in.vacancy_status,in.water_heater_efficiency,in.water_heater_fuel,out.params.size_cooling_system_primary_k_btu_h,out.params.size_heat_pump_backup_primary_k_btu_h,out.params.size_heating_system_primary_k_btu_h,out.params.size_heating_system_secondary_k_btu_h,out.params.size_water_heater_gal,out.electricity.heating.energy_consumption.kwh,out.electricity.heating_fans_pumps.energy_consumption.kwh,out.electricity.heating_hp_bkup.energy_consumption.kwh,out.electricity.heating_hp_bkup_fa.energy_consumption.kwh,out.electricity.hot_water.energy_consumption.kwh,out.electricity.total.energy_consumption.kwh,out.fuel_oil.heating.energy_consumption.kwh,out.fuel_oil.heating_hp_bkup.energy_consumption.kwh,out.fuel_oil.hot_water.energy_consumption.kwh,out.fuel_oil.total.energy_consumption.kwh,out.natural_gas.heating.energy_consumption.kwh,out.natural_gas.heating_hp_bkup.energy_consumption.kwh,out.natural_gas.hot_water.energy_consumption.kwh,out.natural_gas.total.energy_consumption.kwh,out.propane.heating.energy_consumption.kwh,out.propane.heating_hp_bkup.energy_consumption.kwh,out.propane.hot_water.energy_consumption.kwh,out.propane.total.energy_consumption.kwh,out.site_energy.total.energy_consumption.kwh,out.load.cooling.energy_delivered.kbtu,out.load.heating.energy_delivered.kbtu,out.load.hot_water.energy_delivered.kbtu,out.electricity.summer.peak.kw,out.electricity.winter.peak.kw,out.load.cooling.peak.kbtu_hr,out.load.heating.peak.kbtu_hr,Folder_File,State
461524,0,881,54023.0,80-100%,,2,Cold,"MI, Detroit",G2601630,,Single-Family Detached,1,Natural Gas,70F,No,0F,,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,50000-59999,1,50%,85%,Occupied,Natural Gas Standard,Natural Gas,25.95,0.0,75.93,0,30,0.0,1118.9453459175445,0.0,0.0,0.0,6909.736621450484,0.0,0.0,0.0,0.0,44246.9909613916,0.0,2100.733430994489,46891.66429862573,0.0,0.0,0.0,0.0,53801.40092007621,9847.0,124593.0,1774.0,6.6298,4.7416,22.028,79.752,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461580,0,1228,47457.0,80-100%,,3,Cold,"MI, Novi",G2601250,,Single-Family Detached,1,Natural Gas,68F,Yes,6F,Night -5h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,45000-49999,2,200%,85%,Occupied,Natural Gas Standard,Natural Gas,12.48,0.0,40.53,0,40,0.0,354.61599490838887,0.0,0.0,0.0,7627.760743372428,0.0,0.0,0.0,0.0,15981.75159863162,0.0,7215.995889780455,24173.96722315575,0.0,0.0,0.0,0.0,31801.72796652817,13911.0,51521.0,15189.0,8.050699999999999,7.9129,11.248,40.906,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461662,0,1228,37492.0,60-80%,,2,Cold,Not in a census Place,G2600510,,Single-Family Detached,1,Propane,67F,Yes,12F,Night +3h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Propane Fuel Furnace,,,,35000-39999,2,100%,85%,Occupied,Propane Premium,Propane,14.37,0.0,56.78,0,30,0.0,473.8959204684833,0.0,0.0,0.0,6957.507205888555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21592.30416600865,0.0,4070.4640936219935,26476.040479358555,33433.54768524711,11037.0,69394.0,8646.0,5.5318000000000005,5.9372,11.988,57.289,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461875,0,2179,89642.0,80-100%,,5,Cold,In another census Place,G2600670,,Single-Family Detached,2,Propane,68F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,80000-99999,7,100%,85%,Occupied,Electric Standard,Electricity,25.35,0.0,52.01,0,66,0.0,590.5382063970278,0.0,0.0,7368.099775199838,15384.472757620631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2939.5028338273887,24138.79869473508,0.0,0.0,25352.40599631825,43676.38158776628,17214.0,67903.0,24073.0,8.1908,7.8463,20.435,54.584,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
461968,0,1698,27012.0,30-60%,,3,Cold,Not in a census Place,G2601250,,Single-Family Detached,1,Natural Gas,70F,Yes,3F,Night -1h,"Room AC, EER 10.7",<10% Conditioned,Room AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,25000-29999,1,200%,85%,Occupied,Electric Standard,Electricity,2.07,0.0,68.42,0,50,0.0,731.2123200796945,0.0,0.0,2556.4589451122947,8476.201491521011,0.0,0.0,0.0,0.0,28564.757996475983,0.0,0.0,29380.37478476528,0.0,0.0,0.0,0.0,37856.57627628629,546.0,80348.0,7439.0,32.2665,32.0646,1.878,85.618,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
462068,0,1698,89096.0,150%+,,3,Cold,"MI, Livonia",G2601630,,Single-Family Detached,1,Natural Gas,67F,Yes,3F,Night -4h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,50%,85%,Occupied,Electric Standard,Electricity,33.03,0.0,90.82,0,50,0.0,1038.6438726903557,0.0,0.0,1635.6296426311724,9423.11411924746,0.0,0.0,0.0,0.0,41064.23913932126,0.0,0.0,41788.71082478699,0.0,0.0,0.0,0.0,51211.82494403445,24046.0,115502.0,4476.0,6.6242,5.3918,30.121,89.429,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
462075,0,1698,55104.0,80-100%,,3,Cold,In another census Place,G2600050,,Single-Family Detached,1,Propane,70F,Yes,3F,Night +4h,"AC, SEER 10",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Propane Fuel Furnace,,,,50000-59999,2,100%,85%,Occupied,Electric Standard,Electricity,40.96,0.0,135.27,0,50,0.0,1729.7054561564555,0.0,0.0,2887.0431122665614,14784.556276978095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68049.0509964988,0.0,0.0,68049.0509964988,82833.6072734769,32371.000000000004,191633.0,8487.0,15.0384,13.1977,33.33,121.125,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
462151,0,2678,34359.0,60-80%,,3,Cold,Not in a census Place,G2601430,,Single-Family Detached,1,Natural Gas,70F,Yes,6F,Night +4h,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,30000-34999,2,100%,85%,Occupied,Electric Standard,Electricity,11.94,0.0,65.38,0,50,0.0,1119.824559128061,0.0,0.0,2643.5010529534443,9279.802365933245,0.0,0.0,0.0,0.0,43506.69343813656,0.0,0.0,43506.69343813656,0.0,0.0,0.0,0.0,52786.49580406981,5017.0,122285.0,7950.0,7.2035,9.2531,9.9,67.486,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
462196,0,2663,89096.0,120-150%,,3,Cold,In another census Place,G2601630,,Single-Family Attached,1,Natural Gas,68F,No,0F,,"AC, SEER 15",100% Conditioned,Central AC,"Fuel Furnace, 92.5% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,80000-99999,2,100%,104%,Occupied,Natural Gas Standard,Natural Gas,36.66,0.0,75.64,0,40,0.0,810.0484379560222,0.0,0.0,0.0,8597.53291457231,0.0,0.0,0.0,0.0,43625.680292626486,0.0,4240.738385392056,47866.41867801854,0.0,0.0,0.0,0.0,56463.95159259085,31071.0,140449.0,7333.0,11.664,7.9547,36.683,77.536,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
462225,0,1698,32204.0,30-60%,,3,Cold,"MI, St Clair Shores",G2600990,,Single-Family Detached,1,Natural Gas,68F,No,0F,,"AC, SEER 13",100% Conditioned,Central AC,"Fuel Furnace, 80% AFUE",Ducted Heating,Natural Gas Fuel Furnace,,,,30000-34999,1,100%,85%,Occupied,Natural Gas Standard,Natural Gas,21.77,0.0,65.73,0,40,0.0,757.5887163951944,0.0,0.0,0.0,7333.517388919517,0.0,0.0,0.0,0.0,30006.96073279349,0.0,2934.227554564289,34260.887316343295,0.0,0.0,0.0,0.0,41594.40470526281,29772.0,84470.0,3635.0,7.534,5.8655,22.386,69.402,Metadata_MI_Residential_MI_baseline_metadata_and_annual_results.csv,MI
