 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
7108.95,18.0049,6760.82532513268,2197.364563640862,6696.81,17.1454,6399.201910244408,1974.203405939802,6461.16,17.3357,6167.663907444037,1925.2299785771436,19327.691142821124,6096.797948157808,20266.489339126976,20266.92,17.0,68,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7117.31,17.7488,6778.541591744777,2169.671755147813,6657.13,16.9778,6366.998743461374,1943.8896156061155,6438.2,17.1353,6152.419084727236,1896.8812946212747,19297.959419933388,6010.442665375203,20212.289796239274,20212.64,17.0,69,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7146.11,17.0915,6830.51367171577,2100.2312045591416,6682.35,16.3004,6413.741799122013,1875.5579587672396,6481.53,16.3435,6219.6238696953515,1823.8722708610426,19463.879340533134,5799.661434187424,20309.570939191046,20309.989999999998,17.0,70,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7204.28,16.4975,6907.6951120326175,2045.8246644325793,6748.31,15.7323,6495.51186141753,1829.7577747571347,6530.53,15.8451,6282.391879863927,1783.0800174753208,19685.598853314073,5658.662456665035,20482.755259292408,20483.12,17.0,71,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7255.58,16.0586,6972.462055654746,2007.0411104047625,6858.58,15.3692,6613.303583091658,1817.7830822920068,6599.99,15.4205,6362.392528362668,1754.9442484406459,19948.15816710907,5579.768441137416,20713.831854987948,20714.15,18.0,72,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7289.17,15.7109,7016.84842917437,1973.787579982502,6858.67,15.1635,6619.873915664504,1794.0522594408167,6642.19,14.9635,6416.956722645093,1715.0377301388878,20053.679067483965,5482.877569562206,20789.70876622501,20790.03,18.0,73,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7714.39,16.0251,7414.615386057716,2129.6224428137953,7135.6,15.5577,6874.15761617979,1913.8297802880463,6914.58,15.3504,6667.901877616686,1830.4374140832783,20956.674879854192,5873.889637185121,21764.301079743924,21764.57,18.0,74,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7592.52,15.6529,7310.942802902824,2048.530029822215,7022.93,15.1537,6778.729037276534,1835.8590425421987,6815.07,14.922,6585.24727657733,1754.906667384579,20674.91911675669,5639.295739748993,21430.21084648451,21430.52,18.0,75,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7677.32,15.3185,7404.561459370202,2028.2287782223723,7087.54,14.6694,6856.508447458367,1794.8579780952161,6865.13,14.4552,6647.801392487873,1713.6938358225764,20908.87129931644,5536.780592140165,21629.53624877054,21629.99,19.0,76,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7742.18,15.1437,7473.322432534868,2022.5733538665816,7169.12,14.4365,6942.751723205472,1787.3108527414688,6875.45,14.3422,6661.1666084377175,1703.135965545426,21077.24076417806,5513.020172153477,21786.313815092733,21786.75,19.0,77,900.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7704.24,15.1931,7434.96188364105,2019.0729967994555,7135.84,14.5592,6906.696919218369,1793.8088447935313,6870.37,14.4058,6654.351699449966,1709.2651628484532,20996.010502309386,5522.14700444144,21710.056760675398,21710.45,19.0,78,1800.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7658.18,14.9948,7397.413702037077,1981.4114750132335,7093.76,14.1102,6879.731547305563,1729.3712078696735,6832.21,14.1394,6625.223154180045,1668.9852130611037,20902.368403522683,5379.767895944011,21583.57958010703,21584.15,19.0,79,2700.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
7974.75,15.2262,7694.80836891887,2094.412024439348,7265.05,14.3577,7038.13704989231,1801.5488806671842,6989.31,14.5085,6766.424294636029,1750.9873046539537,21499.36971344721,5646.948209760486,22228.605942775815,22229.11,20.0,80,0.0,uhs0_1247_circuit_2_1,uhs0,circuit_2,1,data,,,,,
