hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
18, 900.00000, 0.15009, 0.0841058, 0.149915, -0.100075, 0.150534, 0.0156516, 0, 0
18, 1800.00000, 0.150097, 0.083826, 0.149916, -0.106887, 0.150527, 0.0226775, 0, 0
18, 2700.00000, 0.15013, 0.0999413, 0.149879, -0.105014, 0.150529, 0.00431621, 0, 0
19, 0.00000, 0.150137, 0.100115, 0.149881, -0.105456, 0.150522, 0.00508345, 0, 0
19, 900.00000, 0.150124, 0.100327, 0.149886, -0.10886, 0.15053, 0.00813885, 0, 0
19, 1800.00000, 0.150092, 0.105802, 0.149887, -0.119746, 0.150562, 0.0137509, 0, 0
19, 2700.00000, 0.150059, 0.086888, 0.149928, -0.117334, 0.150553, 0.0299651, 0, 0
20, 0.00000, 0.150037, 0.104494, 0.149888, -0.142847, 0.150615, 0.0379857, 0, 0
20, 900.00000, 0.150012, 0.0928934, 0.149914, -0.137411, 0.150614, 0.0442305, 0, 0
20, 1800.00000, 0.150015, 0.100454, 0.149893, -0.147891, 0.150633, 0.047188, 0, 0
20, 2700.00000, 0.150017, 0.117363, 0.149846, -0.157679, 0.150678, 0.0399197, 0, 0
21, 0.00000, 0.14994, 0.145484, 0.149796, -0.209194, 0.150806, 0.0630856, 0, 0
21, 900.00000, 0.150057, 0.146839, 0.149764, -0.171008, 0.15072, 0.0234675, 0, 0
21, 1800.00000, 0.150064, 0.137498, 0.149802, -0.161101, 0.150675, 0.0232187, 0, 0
21, 2700.00000, 0.150135, 0.154807, 0.14974, -0.151028, 0.150666, -0.00417374, 0, 0
22, 0.00000, 0.150089, 0.135887, 0.149796, -0.15734, 0.150658, 0.0215184, 0, 0
22, 900.00000, 0.150019, 0.10217, 0.149887, -0.149193, 0.150635, 0.0467994, 0, 0
22, 1800.00000, 0.150073, 0.137345, 0.149793, -0.156417, 0.150675, 0.0187346, 0, 0
22, 2700.00000, 0.150076, 0.128834, 0.149812, -0.146091, 0.150652, 0.0166506, 0, 0
23, 0.00000, 0.150032, 0.105927, 0.149867, -0.139643, 0.150642, 0.0333817, 0, 0
23, 900.00000, 0.150093, 0.145838, 0.149767, -0.152462, 0.150681, 0.00625673, 0, 0
23, 1800.00000, 0.150013, 0.123703, 0.149821, -0.15994, 0.150707, 0.0358386, 0, 0
23, 2700.00000, 0.149999, 0.1287, 0.149801, -0.169116, 0.150741, 0.0399612, 0, 0
24, 0.00000, 0.150111, 0.123624, 0.149795, -0.115101, 0.150635, -0.00874519, 0, 0
