Month,Monthly_Average,Monthly_Peak,Monthly_Valley,Monthly_75th_Percentile,Monthly_25th_Percentile,Source_File,Type
8,1.4267608,13.112238,0.3158658,1.7364280819892883,0.6726191341876984,res_304.parquet,res
9,1.3313254,13.170733,0.32087278,1.681685984134674,0.6095076948404312,res_304.parquet,res
10,1.7093964,12.980151,0.30827606,2.2671313881874084,0.7448592931032181,res_304.parquet,res
11,3.492072,12.153173,0.3122287,4.650406837463379,2.0751049518585205,res_304.parquet,res
12,4.2861094,15.595445,0.73080754,5.287408947944641,3.024411678314209,res_304.parquet,res
1,1.1084878,7.673858,0.32798144,1.415088176727295,0.5190426111221313,res_305.parquet,res
2,1.1155216,7.4257107,0.32644856,1.5864124298095703,0.4609459638595581,res_305.parquet,res
3,1.0971683,7.344212,0.34558827,1.507839024066925,0.4714341461658478,res_305.parquet,res
4,1.1409132,7.494675,0.34817493,1.551817923784256,0.5115233212709427,res_305.parquet,res
5,1.5039777,7.757937,0.3626481,1.8552712500095367,0.8179724514484406,res_305.parquet,res
6,1.6863347,8.340976,0.54171276,2.0763257145881653,0.9524171203374863,res_305.parquet,res
7,1.7389282,8.630307,0.54092485,2.126229166984558,0.9897221177816391,res_305.parquet,res
8,1.6466906,7.9066515,0.46679503,2.0769888162612915,0.9245025366544724,res_305.parquet,res
9,1.4701642,8.577023,0.49547985,1.8358668982982635,0.8381636440753937,res_305.parquet,res
10,1.3160889,8.3276,0.32912156,1.6750839352607727,0.6037178635597229,res_305.parquet,res
11,1.1717747,7.3484445,0.33331347,1.460453748703003,0.4735744297504425,res_305.parquet,res
12,1.0349904,7.514623,0.33594707,1.3576433658599854,0.4658767059445381,res_305.parquet,res
1,2.0802033,4.674506,0.96212214,2.410759449005127,1.5041321814060211,res_307.parquet,res
2,2.0057437,6.38558,0.9011092,2.4158453345298767,1.2989892959594727,res_307.parquet,res
3,1.913195,5.4121666,0.93036544,2.24695086479187,1.3569582402706146,res_307.parquet,res
4,1.9960436,5.9254107,0.9392898,2.4775509238243103,1.152452677488327,res_307.parquet,res
5,3.3806465,7.2542415,0.94313073,4.354295134544373,2.255384147167206,res_307.parquet,res
6,4.0483017,7.451802,1.081647,5.273529648780823,2.795635223388672,res_307.parquet,res
7,4.1549416,7.854551,1.3557307,5.226570963859558,3.045368790626526,res_307.parquet,res
8,3.968621,8.086608,1.2225989,5.034109115600586,2.8291996717453003,res_307.parquet,res
9,3.5757046,7.2159758,0.9617984,4.551847696304321,2.5088058710098267,res_307.parquet,res
10,2.4343553,7.218272,0.9217075,3.2288063764572144,1.3560546040534973,res_307.parquet,res
11,1.8679569,6.2962823,0.9350326,2.215860068798065,1.247679442167282,res_307.parquet,res
12,1.9401611,4.9170136,0.93336034,2.2789739966392517,1.3083858788013458,res_307.parquet,res
1,9.648926,29.215677,0.5490056,13.624422788619995,5.378074526786804,res_308.parquet,res
2,5.121266,21.825247,0.24741991,7.47579562664032,2.2090612649917603,res_308.parquet,res
3,6.0429115,21.561554,0.254113,8.377779722213745,3.4665783643722534,res_308.parquet,res
4,2.631071,17.07628,0.25403598,3.9983344674110413,0.5354922413825989,res_308.parquet,res
5,0.6482637,12.850672,0.254113,0.5931217521429062,0.26069003343582153,res_308.parquet,res
6,0.587556,13.040088,0.24537958,0.4783060848712921,0.2577338218688965,res_308.parquet,res
7,0.6006616,12.651197,0.24469355,0.4635130763053894,0.25760430097579956,res_308.parquet,res
8,0.59426874,12.583805,0.2448605,0.5054667592048645,0.25760430097579956,res_308.parquet,res
9,0.5951771,13.070687,0.24583574,0.5078130960464478,0.2577338218688965,res_308.parquet,res
10,2.226301,15.66329,0.24651372,3.262618362903595,0.30363497138023376,res_308.parquet,res
11,5.9158792,19.461765,0.24647817,8.154351711273193,3.1772658228874207,res_308.parquet,res
12,7.010623,16.410374,0.2871024,8.987695693969727,4.919788718223572,res_308.parquet,res
1,18.534843,56.24083,4.283669,23.97245979309082,10.946330070495605,res_310.parquet,res
2,14.058046,50.40008,3.7036724,20.565741062164307,7.177900552749634,res_310.parquet,res
3,14.437448,48.49673,3.8061874,20.767301082611084,8.184024572372437,res_310.parquet,res
4,10.665665,48.61662,3.689276,16.82718515396118,5.081493854522705,res_310.parquet,res
5,10.5206585,49.65036,3.8583598,14.454034328460693,5.3285205364227295,res_310.parquet,res
6,11.114213,53.238026,4.0566907,15.154466390609741,5.848949313163757,res_310.parquet,res
7,10.580705,48.2593,4.43099,13.006429672241211,5.912954688072205,res_310.parquet,res
8,10.327292,54.153923,4.3591166,12.380777597427368,5.888996481895447,res_310.parquet,res
9,10.81241,49.52895,4.003887,13.993407726287842,5.663728833198547,res_310.parquet,res
10,10.147715,48.85006,3.698657,13.246952295303345,5.200600624084473,res_310.parquet,res
11,12.5827055,52.418755,3.6350951,16.69822120666504,7.085024952888489,res_310.parquet,res
12,14.540959,51.101555,4.471681,19.705817222595215,8.977210760116577,res_310.parquet,res
1,7.3629203,22.195127,0.5568591,10.347086191177368,4.57488751411438,res_312.parquet,res
2,4.475,17.998186,0.54865783,6.273339509963989,2.460502862930298,res_312.parquet,res
3,4.956955,16.235033,0.5622242,6.823681950569153,2.784749209880829,res_312.parquet,res
4,2.7316997,11.506097,0.5621295,3.530331075191498,1.545406460762024,res_312.parquet,res
5,2.6138597,14.146197,0.5622242,3.504688084125519,1.065041571855545,res_312.parquet,res
6,2.868635,14.307577,0.55786896,3.894502878189087,1.4724689722061157,res_312.parquet,res
7,3.0747242,14.590438,0.52607393,4.039363980293274,1.5448810756206512,res_312.parquet,res
8,2.8347805,15.445125,0.5246942,3.766986608505249,1.3476924300193787,res_312.parquet,res
9,2.5074995,14.371958,0.5261673,3.3584160208702087,1.2093915939331055,res_312.parquet,res
10,2.6861618,13.896818,0.54997665,3.67866587638855,1.3521454632282257,res_312.parquet,res
11,4.645393,14.062311,0.5502949,6.481809139251709,2.497096836566925,res_312.parquet,res
12,5.677431,18.18966,0.56011826,7.27020537853241,3.8618900775909424,res_312.parquet,res
1,1.5338317,10.066321,0.66946644,1.888212114572525,0.9756168276071548,res_314.parquet,res
2,1.3963267,10.2148285,0.669661,1.778305470943451,0.8211664110422134,res_314.parquet,res
3,1.284851,9.856005,0.67956185,1.5862447917461395,0.8900816142559052,res_314.parquet,res
4,1.1362104,10.23538,0.67939323,1.3927323818206787,0.7290326952934265,res_314.parquet,res
5,1.4770129,11.358988,0.67956185,1.8351236283779144,0.7299339026212692,res_314.parquet,res
6,1.9167731,11.426544,0.6010689,2.5079537630081177,0.9539913833141327,res_314.parquet,res
7,2.0339787,10.587445,0.6772374,2.537060499191284,1.1995487809181213,res_314.parquet,res
8,1.7907237,5.95946,0.67329985,2.402645707130432,0.9350763708353043,res_314.parquet,res
9,1.687665,11.983834,0.61050165,2.2052422165870667,0.7524989247322083,res_314.parquet,res
10,1.3691174,10.947579,0.6668105,1.6587039232254028,0.7326135635375977,res_314.parquet,res
11,1.3390211,9.677279,0.6661889,1.6213831901550293,0.8285376280546188,res_314.parquet,res
12,1.4775748,11.115697,0.6887333,1.8352519571781158,0.9062939584255219,res_314.parquet,res
1,1.265643,10.234709,0.5377787,1.372953087091446,0.9127427488565445,res_317.parquet,res
2,1.1355219,8.516192,0.5463799,1.2632476389408112,0.768684983253479,res_317.parquet,res
3,1.1180689,9.576601,0.5477894,1.1409278810024261,0.7934377640485764,res_317.parquet,res
4,1.1586748,11.292825,0.54120135,1.1156782507896423,0.69559445977211,res_317.parquet,res
5,1.6246591,10.815054,0.54129606,1.9316993951797485,0.9226417541503906,res_317.parquet,res
6,1.9263823,10.961914,0.5379361,2.2705928683280945,1.185777723789215,res_317.parquet,res
7,1.9338073,10.766965,0.537794,2.315368950366974,1.2192978858947754,res_317.parquet,res
8,1.8555393,11.275985,0.537794,2.182089626789093,1.1749902963638306,res_317.parquet,res
9,1.6753588,11.702263,0.5379361,2.00961035490036,1.0047427415847778,res_317.parquet,res
10,1.2652997,11.07525,0.533956,1.4113268554210663,0.747461587190628,res_317.parquet,res
11,1.2815557,9.803013,0.5335999,1.1840835809707642,0.7675160765647888,res_317.parquet,res
12,1.2425374,9.26837,0.5609692,1.3052314519882202,0.8069043755531311,res_317.parquet,res
1,1.0114752,5.741758,0.40010047,1.0651066601276398,0.6475712209939957,res_318.parquet,res
2,0.88009787,5.741755,0.40051946,0.9669250845909119,0.5541602969169617,res_318.parquet,res
3,0.86057615,5.707921,0.41338995,0.8989023417234421,0.561179593205452,res_318.parquet,res
4,0.7598245,6.570049,0.41329005,0.8352444171905518,0.44917216897010803,res_318.parquet,res
5,1.4431057,8.455994,0.41338995,2.13891065120697,0.5439726710319519,res_318.parquet,res
6,1.8663352,8.254451,0.40922165,2.8454477190971375,0.7007302045822144,res_318.parquet,res
7,1.9451146,8.808966,0.38352448,2.800230026245117,0.8340959697961807,res_318.parquet,res
8,1.8077955,8.743572,0.3836922,2.740139961242676,0.724807858467102,res_318.parquet,res
9,1.6072485,8.024867,0.39732236,2.3751115798950195,0.600723147392273,res_318.parquet,res
10,1.0440844,8.169526,0.4011385,1.1139428615570068,0.4658862054347992,res_318.parquet,res
11,0.8759276,6.042857,0.4013995,0.9058924168348312,0.5475854277610779,res_318.parquet,res
12,0.9477583,5.7611346,0.40010047,1.028524488210678,0.5706113427877426,res_318.parquet,res
1,1.4131356,15.963682,0.6299382,1.594176024198532,0.9931348562240601,res_319.parquet,res
