Source_File,State,Matched_Buildings,Tolerance
res_1231.parquet,MT,"[997, 19587, 179411, 315589, 328292, 344467, 401970, 409742, 454483]",15
res_1232.parquet,MT,[9444],35
res_1234.parquet,MT,"[1623, 21261, 35515, 66492, 107144, 109588, 182535, 249167, 281964, 285884, 290349, 361320, 369202, 399429, 408127, 440505, 454967, 457710, 514429, 516015, 520607, 541502]",30
res_1239.parquet,MT,[377168],5
res_1248.parquet,MT,"[13693, 140071, 180039]",10
res_1252.parquet,MT,[353253],10
res_1253.parquet,MT,"[110662, 525414]",5
res_1255.parquet,MT,"[65660, 106657, 144694, 412039, 538267, 543717]",5
res_1256.parquet,MT,"[100280, 119073, 150214, 306909, 469082]",10
res_1258.parquet,MT,"[146230, 185745, 278604]",20
res_1261.parquet,MT,[157543],20
res_1264.parquet,MT,[117464],20
res_1266.parquet,MT,[215981],5
res_1267.parquet,MT,"[46979, 120159, 123539, 142425, 154106, 273552, 301875, 388614, 457398]",30
res_1268.parquet,MT,"[123404, 200860, 370072, 405347, 434908, 484947, 493524]",10
res_1270.parquet,MT,"[239542, 547068]",15
res_1273.parquet,MT,"[97519, 266112, 535419]",5
res_1275.parquet,MT,[424723],30
res_1276.parquet,MT,"[20381, 545429]",15
res_1277.parquet,MT,"[202090, 277291, 486032, 515458]",20
res_128.parquet,MT,[138494],10
res_1283.parquet,MT,[234488],10
res_13.parquet,MT,[486032],10
res_131.parquet,MT,"[57049, 116468, 133654, 154106, 166028, 177325, 185597, 216380, 260286, 273552, 354020, 354532, 403922, 449477, 460187, 486622, 497181]",30
res_132.parquet,MT,"[57049, 59985, 119560, 166028, 177325, 185597, 354020, 403922, 449477, 460187, 486622, 497181]",20
res_134.parquet,MT,[437679],10
res_137.parquet,MT,"[90749, 146501, 306289, 310402]",25
res_138.parquet,MT,[424723],25
res_140.parquet,MT,[424723],30
res_141.parquet,MT,"[131963, 253235]",15
res_142.parquet,MT,"[200860, 484947]",10
res_145.parquet,MT,"[33684, 170712, 254420, 289951, 311258]",30
res_146.parquet,MT,[494976],25
res_148.parquet,MT,[146221],10
res_156.parquet,MT,"[63481, 113739, 123539, 154106, 271797, 301875, 421409]",25
res_160.parquet,MT,"[2498, 21944, 38070, 43604, 52939, 65095, 74079, 78745, 96263, 96374, 101078, 110286, 114857, 118797, 126146, 130079, 134052, 139999, 157494, 174071, 184651, 188799, 199784, 210687, 210978, 245761, 252435, 252620, 254592, 267613, 277862, 309133, 316876, 337190, 350661, 358176, 360585, 385607, 385893, 395319, 401489, 415757, 423918, 435248, 452497, 472621, 492902, 493999, 505850, 512644, 513770, 526430]",20
res_162.parquet,MT,"[102854, 200667, 253797, 410527, 436169, 477191, 519532]",10
res_163.parquet,MT,[424723],55
res_165.parquet,MT,"[21716, 66492, 107144, 249167, 285884, 361320, 369202, 387143, 408127, 454967, 520607]",15
res_169.parquet,MT,"[40240, 87233, 129171, 174711, 271426, 481916, 494976, 497559]",15
res_170.parquet,MT,[403956],15
