bldg_id,Occurrence_Count,Unique_Source_Files
493524,6,"['res_1268.parquet', 'res_879.parquet', 'res_1019.parquet', 'res_667.parquet', 'res_298.parquet', 'res_564.parquet']"
517613,3,"['res_1019.parquet', 'res_943.parquet', 'res_577.parquet']"
544168,7,"['res_450.parquet', 'res_907.parquet', 'res_1019.parquet', 'res_1020.parquet', 'res_763.parquet', 'res_298.parquet', 'res_356.parquet']"
12002,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
16356,4,"['res_298.parquet', 'res_272.parquet', 'res_1020.parquet', 'res_427.parquet']"
32107,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
41077,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
93514,3,"['res_907.parquet', 'res_298.parquet', 'res_1020.parquet']"
116394,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
123404,6,"['res_1268.parquet', 'res_879.parquet', 'res_1020.parquet', 'res_667.parquet', 'res_298.parquet', 'res_564.parquet']"
129171,4,"['res_298.parquet', 'res_169.parquet', 'res_1020.parquet', 'res_932.parquet']"
174711,5,"['res_427.parquet', 'res_1020.parquet', 'res_932.parquet', 'res_298.parquet', 'res_169.parquet']"
177757,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
195946,3,"['res_298.parquet', 'res_30.parquet', 'res_1020.parquet']"
222349,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
355424,5,"['res_30.parquet', 'res_678.parquet', 'res_1020.parquet', 'res_298.parquet', 'res_1103.parquet']"
370072,6,"['res_1268.parquet', 'res_879.parquet', 'res_1020.parquet', 'res_667.parquet', 'res_298.parquet', 'res_564.parquet']"
436719,3,"['res_298.parquet', 'res_427.parquet', 'res_1020.parquet']"
454507,4,"['res_298.parquet', 'res_30.parquet', 'res_356.parquet', 'res_1020.parquet']"
467499,4,"['res_298.parquet', 'res_30.parquet', 'res_1020.parquet', 'res_1103.parquet']"
73931,5,"['res_644.parquet', 'res_645.parquet', 'res_182.parquet', 'res_512.parquet', 'res_1023.parquet']"
