Source_File,State,Matched_Buildings,Tolerance
com_13233.parquet,MT,[184587],10.0
com_13234.parquet,MT,"[184145, 184157, 184394, 184557, 184712, 184772, 184835, 184967, 184996]",40.0
com_13239.parquet,MT,"[184254, 184288, 184782, 184866]",20.0
com_13245.parquet,MT,[184687],40.0
com_13248.parquet,MT,"[184172, 184207]",25.0
com_13250.parquet,MT,[184886],45.0
com_13252.parquet,MT,"[184112, 184266, 184279, 184285, 184358, 184372, 184413, 184430, 184465, 184511, 184658, 184664, 184708, 184730, 184878, 184948, 185025]",25.0
com_13255.parquet,MT,"[184546, 184996]",30.0
com_13257.parquet,MT,"[184430, 184658, 184664, 184706]",30.0
com_13261.parquet,MT,"[184287, 184456, 184929, 185010]",50.0
com_13262.parquet,MT,[],
com_13264.parquet,MT,[],
com_13267.parquet,MT,[184508],15.0
com_13269.parquet,MT,[184349],20.0
com_13270.parquet,MT,"[184168, 184654, 185028]",20.0
com_13274.parquet,MT,[184207],30.0
com_13289.parquet,MT,[184735],30.0
com_13291.parquet,MT,[],
com_13292.parquet,MT,"[184508, 184587]",15.0
com_13294.parquet,MT,[184288],15.0
com_13299.parquet,MT,[184349],20.0
com_13303.parquet,MT,"[184492, 184777, 184920]",30.0
com_13304.parquet,MT,"[184107, 184246, 184439, 184652, 184821]",40.0
com_13305.parquet,MT,"[184546, 184845]",30.0
com_13311.parquet,MT,"[184255, 184951]",15.0
com_13313.parquet,MT,[184488],10.0
com_13315.parquet,MT,"[184157, 184484]",40.0
com_13316.parquet,MT,"[184313, 184579, 184581, 184694, 184840]",30.0
com_13319.parquet,MT,"[184539, 184558, 184600, 184845]",15.0
com_13321.parquet,MT,[184495],20.0
com_13324.parquet,MT,"[184262, 184529]",25.0
com_13325.parquet,MT,"[184184, 184590, 184705, 184833]",20.0
com_13333.parquet,MT,"[184148, 184223, 184646]",40.0
com_13335.parquet,MT,"[184772, 184835]",25.0
com_13337.parquet,MT,"[184224, 184246, 184551, 184704, 184720, 184821, 184897, 184935]",50.0
com_13339.parquet,MT,"[184694, 184838, 184840, 184849, 184885]",20.0
com_13342.parquet,MT,[184700],20.0
com_13346.parquet,MT,[184220],30.0
com_13347.parquet,MT,"[184124, 184308]",35.0
com_13348.parquet,MT,[184207],40.0
com_13352.parquet,MT,[184823],25.0
com_13354.parquet,MT,"[184126, 184202, 184718]",20.0
com_13360.parquet,MT,"[184194, 184382, 184436, 184750, 184863, 185004, 185030]",20.0
com_13363.parquet,MT,"[184680, 184812, 184968]",40.0
com_13366.parquet,MT,[184261],15.0
