 S1 (kVA), Ang1,P1 (kW),Q1 (kVAr), S2 (kVA), Ang2,P2 (kW),Q2 (kVAr), S3 (kVA), Ang3,P3 (kW),Q3 (kVAr),P_3ph (kW),Q_3ph (kVAr),S_3ph (kVA),S_sum_3ph (kVA),hour,timestep, t(sec),circuit_folder,substation,feeder,scenario,row_type,n_loads,n_evs,n_storage,n_pv,substation_xfmr_kva
3492.43,11.1411,3426.6127457955486,674.8276781901369,3529.57,11.0447,3464.19538481645,676.1765455237337,3709.23,12.2514,3624.755705519033,787.1043566181154,10515.563836131032,2138.1085803319856,10730.73115370225,10731.23,17.0,68,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3532.51,11.254,3464.585690093643,689.4003888150622,3574.25,10.9298,3509.4139263985567,677.6997533567989,3736.38,12.4116,3649.0562536884727,803.0715795102248,10623.055870180673,2170.1717216820857,10842.461036248582,10843.14,17.0,69,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3441.56,10.6803,3381.9403975438004,637.8200224681583,3508.35,10.5292,3449.276073153672,641.1039647900976,3661.09,11.8573,3582.9710827225435,752.2620610359429,10414.187553420015,2031.1860482941988,10610.420310270152,10611.0,17.0,70,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3455.44,10.7134,3395.2094245867984,642.3539186437503,3545.47,10.5324,3485.7348528258844,648.0818287029103,3727.66,12.0765,3645.1636413731558,779.8917253126838,10526.107918785838,2070.3274726593445,10727.77720508652,10728.57,17.0,71,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3568.78,10.9436,3503.880071438009,677.5065559679659,3588.91,10.6095,3527.5569926339954,660.7697419063621,3842.35,11.941,3759.2060721544954,794.9988865254898,10790.6431362265,2133.2751843998176,10999.492820388044,11000.04,18.0,72,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3449.68,10.5195,3391.700637398998,629.8086127286856,3508.53,10.5748,3448.9416882131673,643.8819707099351,3653.62,11.4712,3580.638188131615,726.6149393547753,10421.28051374378,2000.305522793396,10611.517786379742,10611.83,18.0,73,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3378.53,10.0836,3326.342980798429,591.5296569006706,3428.89,10.1197,3375.5461598080074,602.4738625910782,3536.46,10.9747,3471.782895884331,673.255416201763,10173.672036490767,1867.2589356935116,10343.60955561459,10343.880000000001,18.0,74,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3373.4,10.0197,3321.948867350299,586.9269824348386,3441.31,10.1653,3387.29063907641,607.3521569281893,3573.57,10.8596,3509.573801718662,673.2713236058852,10218.81330814537,1867.550462968913,10388.064793717083,10388.28,18.0,75,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3339.88,9.55249,3293.5691695173655,554.2567455653474,3418.5,9.84282,3368.1811063269174,584.3785459634721,3481.1,10.6235,3421.4333138020984,641.7564095552073,10083.183589646382,1780.3917010840266,10239.15943385017,10239.48,19.0,76,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3270.84,9.24543,3228.349121017884,525.5057168319453,3213.25,8.7902,3175.508881488282,491.03859938811166,3349.08,9.9167,3299.0419722250404,576.7659073640849,9702.899974731206,1593.310223584142,9832.848284612988,9833.17,19.0,77,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3225.38,8.98039,3185.842723836744,503.4702408052288,3191.57,8.20879,3158.8702522817885,455.69484762194975,3388.64,9.65241,3340.667283436146,568.1752819151496,9685.380259554679,1527.3403703423282,9805.068045610336,9805.59,19.0,78,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3138.56,8.44375,3104.539573443456,460.86105338108763,3247.06,8.51436,3211.2734598999523,480.7508807503002,3338.9,9.64081,3291.74472459211,559.1689173407393,9607.557757935518,1500.7808514721273,9724.068553656558,9724.52,19.0,79,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3198.06,8.28096,3164.7160847390132,460.6081486406543,3322.07,8.17792,3288.288275919898,472.5561335415582,3420.05,9.29109,3375.1818007551487,552.1682844488939,9828.18616141406,1485.3325666311064,9939.791549972553,9940.18,20.0,80,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3183.52,7.92958,3153.08036910101,439.1853553909063,3260.88,7.68288,3231.607701755349,435.94728621189034,3390.86,8.76322,3351.2764036227863,516.6023675140532,9735.964474479144,1391.7350091168498,9834.934193166797,9835.26,20.0,81,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3159.67,7.0854,3135.540869000215,389.7408981995303,3252.96,7.23831,3227.0361119653553,409.8617982582932,3355.05,8.09274,3321.638746288158,472.3097941576442,9684.215727253728,1271.9124906154677,9767.384278084492,9767.68,20.0,82,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
3103.2,7.21492,3078.628957083884,389.73578820092433,3193.86,7.18405,3168.7867717897234,399.4146899282304,3368.27,8.32384,3332.787427025367,487.61743115031857,9580.203155898975,1276.7679092794733,9664.90707676295,9665.33,20.0,83,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2982.96,6.59948,2963.1943363877417,342.82602934959664,3084.22,6.74377,3062.8809954997705,362.1781547889578,3261.65,7.79741,3231.4927004376277,442.51062079720674,9257.56803232514,1147.514804935761,9328.416591291103,9328.83,21.0,84,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2980.9,6.55886,2961.3901217719517,340.4898774875757,3104.38,6.60324,3083.7863640934634,356.982975828284,3296.33,7.61825,3267.2344927185054,437.0014170348315,9312.410978583921,1134.4742703506913,9381.259515871952,9381.61,21.0,85,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2692.18,5.63328,2679.178255347497,264.2669643999096,2882.02,5.72058,2867.66705401563,287.2715574388066,3011.36,6.45213,2992.286313592721,338.3957255724193,8539.131622955847,889.9342474111354,8585.380121979444,8585.56,21.0,86,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2642.71,5.04144,2632.4864144385515,232.23139730979472,2808.6,5.21831,2796.959432429042,255.44450149927144,2944.19,5.90345,2928.575858651068,302.8171002868921,8358.02170551866,790.4929990959583,8395.320482956013,8395.5,21.0,87,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2602.06,5.34853,2590.730897114904,242.54826805030433,2826.83,5.81848,2812.2663490858786,286.5760469738919,3038.34,7.17516,3014.546592408221,379.49808668817263,8417.543838609003,908.6224017123689,8466.441929393832,8467.23,22.0,88,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2470.4,4.96971,2461.1128638531527,214.00848435642374,2576.16,4.54862,2568.0461163148343,204.30244756315633,2830.91,6.4212,2813.1505877117997,316.5994298111684,7842.309567879787,734.9103617307485,7876.668877021432,7877.469999999999,22.0,89,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2381.83,4.82587,2373.386354849725,200.37804149440734,2554.15,5.89024,2540.6648869155024,262.1147742776751,2715.71,6.65652,2697.403131064965,314.79700224259483,7611.454372830192,777.2898180146773,7651.040264621874,7651.69,22.0,90,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2304.57,3.7377,2299.66804293606,150.23241061313465,2508.36,4.05443,2502.082409429635,177.35136318278887,2492.45,5.07996,2482.6598969416896,220.69625873013445,7284.410349307385,548.280032526058,7305.01506714143,7305.38,22.0,91,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2244.88,3.58708,2240.4819705084315,140.45196412530285,2394.09,3.61691,2389.321339664642,151.03133424279787,2349.85,4.70058,2341.9464141969042,192.5669118261509,6971.749724369978,484.0502101942516,6988.5333815645445,6988.82,23.0,92,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2148.87,2.8973,2146.123185888092,108.61651759076733,2318.13,3.16975,2314.5834851817363,128.1795109366888,2265.46,4.24892,2259.233568582676,167.8472346783994,6719.940239652504,404.64326320585553,6732.1120753415,6732.46,23.0,93,900.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2076.06,2.61242,2073.902377810636,94.6258469520267,2312.12,3.24831,2308.405214684571,131.01243916925955,2155.65,4.0188,2150.3494893151646,151.0761275053454,6532.657081810372,376.71441362663165,6543.509937179072,6543.83,23.0,94,1800.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
2009.87,3.37865,2006.3765601826162,118.45047762576718,2244.89,3.00802,2241.796988817632,117.80226240695568,2133.81,4.33661,2127.700947163501,161.3499164534647,6375.874496163749,397.6026564861875,6388.259814947747,6388.57,23.0,95,2700.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
1951.51,2.71267,1949.3232037346247,92.35977198856247,2157.09,3.40132,2153.2902025677763,127.97879365592722,2131.53,4.04192,2126.2283445446274,150.24369455991675,6228.841750847028,370.58226020440645,6239.8558291576965,6240.130000000001,24.0,96,0.0,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,data,,,,,
,,,,,,,,,,,,,,,,,0,,uhs10_1247_circuit_33_0,uhs10,circuit_33,0,summary,4100.0,2080.0,1.0,1.0,1000.0
1899.51,2.39724,1897.847636482696,79.45180172308588,2055.78,2.83039,2053.2721265458144,101.51346093021296,2131.27,3.8946,2126.3482255692375,144.7585455804068,6077.4679885977475,325.72380823370565,6086.190364397142,6086.5599999999995,0.0,1,900.0,uhs10_1247_circuit_33_1,uhs10,circuit_33,1,data,,,,,
2003.13,2.31344,2001.4973565448474,80.85869553726296,2141.81,2.62868,2139.556254133443,98.22989106411839,2204.18,3.80724,2199.315563933833,146.35751650805938,6340.369174612123,325.44610310944074,6348.716125044553,6349.120000000001,0.0,2,1800.0,uhs10_1247_circuit_33_1,uhs10,circuit_33,1,data,,,,,
